Epoch 300 | Loss: 0.4141 | Train Acc: 0.8464 | Val Acc: 0.8512
Epoch 350 | Loss: 0.4007 | Train Acc: 0.8500 | Val Acc: 0.8536
Epoch 400 | Loss: 0.3801 | Train Acc: 0.8565 | Val Acc: 0.8560
Epoch 450 | Loss: 0.3753 | Train Acc: 0.8568 | Val Acc: 0.8536
Epoch 500 | Loss: 0.3590 | Train Acc: 0.8589 | Val Acc: 0.8571
Epoch 550 | Loss: 0.3583 | Train Acc: 0.8571 | Val Acc: 0.8548
Epoch 600 | Loss: 0.3512 | Train Acc: 0.8613 | Val Acc: 0.8548
Epoch 650 | Loss: 0.3451 | Train Acc: 0.8619 | Val Acc: 0.8583
Epoch 700 | Loss: 0.3395 | Train Acc: 0.8640 | Val Acc: 0.8583
Epoch 750 | Loss: 0.3323 | Train Acc: 0.8646 | Val Acc: 0.8619
Epoch 800 | Loss: 0.3297 | Train Acc: 0.8646 | Val Acc: 0.8571
Epoch 850 | Loss: 0.3244 | Train Acc: 0.8676 | Val Acc: 0.8643
Epoch 900 | Loss: 0.3192 | Train Acc: 0.8673 | Val Acc: 0.8631
Epoch 950 | Loss: 0.3130 | Train Acc: 0.8688 | Val Acc: 0.8667
Epoch 1000 | Loss: 0.3118 | Train Acc: 0.8693 | Val Acc: 0.8702
Epoch 1050 | Loss: 0.3064 | Train Acc: 0.8685 | Val Acc: 0.8702
Epoch 1100 | Loss: 0.3048 | Train Acc: 0.8738 | Val Acc: 0.8738
Epoch 1150 | Loss: 0.3022 | Train Acc: 0.8717 | Val Acc: 0.8667
Epoch 1200 | Loss: 0.2993 | Train Acc: 0.8744 | Val Acc: 0.8738
Epoch 1250 | Loss: 0.2966 | Train Acc: 0.8756 | Val Acc: 0.8714
Epoch 1300 | Loss: 0.2969 | Train Acc: 0.8750 | Val Acc: 0.8726
Epoch 1350 | Loss: 0.3004 | Train Acc: 0.8783 | Val Acc: 0.8702
Epoch 1400 | Loss: 0.2922 | Train Acc: 0.8777 | Val Acc: 0.8690
Epoch 1450 | Loss: 0.2916 | Train Acc: 0.8786 | Val Acc: 0.8738
Best epoch:  1127
Combination 4/300: {'hidden1': 100, 'hidden2': 25, 'activation': 'tanh', 'lr': 0.01, 'alpha': 0.01, 'batch_size': 128}
Epoch 001 | Loss: 2.4097 | Train Acc: 0.5003 | Val Acc: 0.4952
Epoch 050 | Loss: 0.4097 | Train Acc: 0.8295 | Val Acc: 0.8155
Epoch 100 | Loss: 0.4056 | Train Acc: 0.8095 | Val Acc: 0.8143
Epoch 150 | Loss: 0.4090 | Train Acc: 0.8458 | Val Acc: 0.8369
Epoch 200 | Loss: 0.3666 | Train Acc: 0.8375 | Val Acc: 0.8131
Epoch 250 | Loss: 0.3758 | Train Acc: 0.8446 | Val Acc: 0.8310
Epoch 300 | Loss: 0.4373 | Train Acc: 0.7747 | Val Acc: 0.7857
Epoch 350 | Loss: 0.3749 | Train Acc: 0.8348 | Val Acc: 0.8202
Epoch 400 | Loss: 0.3715 | Train Acc: 0.8217 | Val Acc: 0.8250
Epoch 450 | Loss: 0.3919 | Train Acc: 0.8247 | Val Acc: 0.8214
Epoch 500 | Loss: 0.3957 | Train Acc: 0.8241 | Val Acc: 0.8119
